16		tmn		trump hints chairman  has picked		0.17303583,0.0,0.054271553,0.17303583,0.075997785,0.092518054,0.104673855,0.16664769,0.16664769,0.21027851,0.087567575,0.21027851,0.0,0.123856045,0.1664556,1.0,1.0,1.0,0.08123917,0.11724218,0.11724218,0.112829015,0.14423805,0.11724218,0.0,0.0,0.052111767,0.123856045,0.12258054,0.09028299,0.08756283,0.023338731,0.06650285,0.060031816,0.06650285,0.10575128,0.10575128,0.10575128,0.026801057,0.0,0.111998394,0.07520369,0.096622474,0.10575128,0.10575128,0.10841231,0.10841231,0.10841231,0.1073515,0.10841231,0.21475886,0.16124454,0.15261064,0.16124454,0.100778766,0.1911066,0.15261064,0.21475886,0.14259042,0.15261064,0.16230418,0.11548507,0.076885484,0.076885484,0.15261064,0.19132295,0.19132295,0.19132295,0.079242945,0.19132295,0.08798725,0.006258203,0.15059935,0.09891953,0.041648515,0.11448157,0.15261064,0.045512393,0.057165824,0.1425868,0.19501299,0.16230418,0.11448963,0.21475886,0.060031816,0.39300087,0.16124454,0.12974553,0.15840903,0.08837432,0.19132295,0.058532167,0.19132295,0.1911066,0.15840903,0.015868513,0.17104805,0.14547367,0.054271553,0.1312511
55		user		joe stop that		0.4142387,0.0,0.4142387,0.017976884,0.04903615,0.12247949,0.2988744,0.4751861,0.4751861,0.4751861,0.22733597,0.4751861,0.0,0.21573713,0.38772202,0.20908056,0.1911066,0.20908056,0.41199687,0.36183652,0.19985527,0.36183652,0.36183652,0.21223369,0.09223582,0.0,0.015907045,0.21573713,0.44987467,0.077916704,0.049507134,0.07876034,0.4142387,0.192053,0.4142387,0.40021592,0.40021592,0.16055852,0.0,0.0,0.23881756,0.07577984,0.59898,0.59898,0.40021592,0.6015703,0.6015703,0.6015703,0.1620248,0.6015703,0.3053612,0.42616984,0.43261716,0.42616984,0.4107434,1.0,0.43852416,0.32287347,0.4765852,0.32459593,0.36137265,0.43261716,0.5758664,0.32181734,0.32459593,0.43261716,0.42616984,0.42616984,0.143406,0.42616984,0.22492743,0.19772513,0.48712698,0.35444516,0.35444516,0.24804385,0.32459593,0.5758664,0.32885027,0.4142387,0.31431976,0.24804385,0.3016011,0.6672214,0.19772513,0.22792348,0.42616984,0.22492743,0.32459593,1.0,0.38299587,0.44971776,0.40468904,1.0,0.2259105,0.17213488,0.29980847,0.5219174,0.4142387,0.19772513
59		user		i want change		0.18264745,0.0,0.18264745,0.095406584,0.05958002,0.08778643,0.20877145,0.052157994,0.052157994,0.07271553,0.3558037,0.3558037,0.0,0.108624525,0.10216381,0.1894448,0.15261064,0.1894448,0.098507665,0.34267655,0.34267655,0.11736636,0.15390228,0.34267655,0.04818602,0.0,0.01828887,0.108624525,0.1160919,0.08079535,0.0675369,0.04106916,0.25443435,0.25443435,0.25443435,0.46872222,0.46872222,0.23020153,0.094663404,0.0,0.08268435,0.0,0.46872222,0.23020153,0.46872222,0.47963828,0.47963828,0.47963828,0.10646983,0.47963828,0.80679137,0.28151605,1.0,0.312062,0.2091614,0.32459593,1.0,0.80679137,0.4148109,1.0,0.24102345,0.41960475,0.20885153,0.20885153,1.0,1.0,0.41405144,0.41405144,0.29776537,0.41405144,0.5316518,0.27739587,0.7635793,0.46514922,0.22014299,0.5316518,1.0,0.116299264,0.36301127,0.18264745,0.12207828,0.5316518,0.28852156,0.80679137,0.20195208,0.1893165,0.65422904,0.5316518,1.0,0.20213014,0.41405144,0.15895775,0.41405144,0.34957555,0.2841044,0.13762404,0.2618163,0.50364345,0.18264745,0.20195208
73		user		more love for us		0.30723727,0.0,0.26829582,0.060969774,0.14142837,0.15576157,0.19208947,0.11026346,0.18729238,0.28194138,0.24063894,0.28194138,0.0,0.14561193,0.1957295,0.11969769,0.09891953,0.20018414,0.22899118,0.232488,0.232488,0.15098172,0.15098172,0.232488,0.06457764,0.0,0.0876026,0.14561193,0.21262954,0.14578116,0.12985031,0.11987752,0.40440124,0.40440124,0.40440124,0.29192242,0.29192242,0.14473665,0.20086023,0.0,0.16382766,0.21457493,0.29192242,0.14473665,0.29192242,0.32211462,0.32211462,0.32211462,0.15176299,0.32211462,0.5704773,0.33538398,0.46514922,0.33538398,0.3257945,0.35444516,0.46514922,0.5704773,0.31057537,0.46514922,0.1689575,0.4180774,0.20935123,0.20935123,0.46514922,0.46514922,0.38395682,0.33538398,0.36376348,0.33538398,0.5485756,0.31747606,0.39639685,1.0,1.0,0.5485756,0.46514922,0.18708439,0.4144678,0.26829582,0.25760818,0.5485756,0.25402495,0.5704773,0.3257945,0.2931913,0.6143709,0.5485756,0.46514922,0.23155561,0.26285854,0.2558349,0.2931913,0.48509172,0.13161997,0.09103132,0.21996875,0.4816461,0.26829582,0.16951409
74		user		loved us more		0.21821246,0.0,0.21821246,0.060969774,0.14142837,0.15576157,0.16771832,0.11026346,0.18729238,0.28194138,0.20514593,0.28194138,0.0,0.0063667614,0.0,0.09660445,0.041648515,0.09660445,0.052234005,0.1134112,0.10227525,0.1134112,0.1134112,0.10227525,0.06457764,0.0,0.0876026,0.0063667614,0.0,0.12985031,0.12985031,0.11031859,0.21821246,0.17209774,0.21821246,0.10212286,0.10212286,0.10150197,0.20086023,0.0,0.16382766,0.21457493,0.10212286,0.10150197,0.10212286,0.32211462,0.32211462,0.32211462,0.15176299,0.32211462,0.3439408,0.25347385,0.39098728,0.25347385,0.3257945,0.35444516,0.34440944,0.3439408,0.31057537,0.22014299,0.15089168,0.39098728,0.19278784,0.19278784,0.22014299,0.39098728,0.38395682,0.25347385,0.22358377,0.25347385,0.1346863,0.1554869,0.31860924,1.0,1.0,0.14220871,0.22014299,0.13477045,0.4144678,0.21821246,0.2372846,0.14220871,0.25402495,0.38187596,0.3257945,0.2931913,0.35831833,0.1346863,0.22014299,0.117539875,0.14290482,0.24109115,0.2931913,0.35444516,0.09887922,0.00900725,0.21996875,0.41959292,0.21821246,0.08091006
78		user		different fathers		0.32792956,0.0,0.32792956,0.0,0.072034776,0.15090004,0.083548136,0.0,0.057016272,0.057016272,0.3466569,0.3466569,0.0,0.0,0.0,0.063446485,0.057165824,0.093364574,0.077823535,0.05989061,0.05989061,0.05989061,0.05989061,0.024707269,0.12058808,0.0,0.07085248,0.0,0.0,0.09555605,0.045655765,0.019940414,0.32792956,0.17280184,0.32792956,0.107959256,0.107959256,0.107959256,0.057988934,0.0,0.0546064,0.0,0.034011036,0.107959256,0.107959256,0.23395267,0.23395267,0.23395267,0.20925331,0.23395267,0.098534495,0.17012593,0.3102435,0.17012593,0.48032814,0.32885027,0.35797048,0.21854493,0.32354566,0.36301127,0.0972944,0.3102435,0.15690999,0.15690999,0.07848533,0.3102435,0.17012593,0.17012593,0.029531712,0.17012593,0.07753311,0.10192247,0.48032814,0.4144678,0.4144678,0.07753311,0.10509058,0.0,1.0,0.3506334,0.3335229,0.1531427,0.19705498,0.49367535,0.23016909,0.32546586,0.48032814,0.07753311,0.1531427,0.21727918,0.051008537,0.22035754,0.32546586,0.32885027,0.07658894,0.0,0.11294568,0.4762547,0.32792956,0.10192247
89		user		joe where is eddie		0.24143097,0.0,0.23504537,0.040985335,0.1116276,0.08985129,0.359193,0.4751861,0.4751861,0.4751861,0.15017667,0.4751861,0.0,0.21573713,0.40144306,0.11537075,0.08837432,0.11537075,0.43386224,0.2889536,0.2889536,0.2889536,0.2889536,0.07434039,0.019695636,0.0,0.037392505,0.21573713,0.44987467,0.111283876,0.09791086,0.0347039,0.23504537,0.24143097,0.23504537,0.14407444,0.14407444,0.04960121,0.013916457,0.0,0.122093804,0.07577984,0.59898,0.59898,0.14407444,0.38688532,0.38688532,0.38688532,0.1620248,0.38688532,0.20665915,0.3028,0.16880831,0.3028,0.24143097,1.0,0.19834255,0.42762765,0.24771124,0.20213014,0.2728021,0.1673113,0.57631713,0.16793634,0.16880831,0.18153033,0.3028,0.3028,0.18386424,0.3028,0.22492743,0.3131041,0.19351816,0.23155561,0.117539875,0.24804385,0.16880831,0.57631713,0.21727918,0.23504537,0.18720943,0.24804385,0.17603181,0.2402563,0.3131041,0.14646201,0.3028,0.22492743,0.20030253,1.0,0.42762765,0.42762765,0.18153033,0.37542537,0.06551884,0.24072224,0.15544151,0.27095044,0.23504537,0.3131041
63		user		burn up		0.163851,0.0,0.163851,0.09105692,0.065193,0.03076985,0.18205285,0.01995537,0.19349435,0.19349435,0.19349435,0.15952517,0.0,0.044426918,0.049708754,0.076885484,0.076885484,0.076885484,0.17990041,0.29542586,0.22326525,0.29542586,0.29542586,0.18602782,0.016525378,0.0,0.019925399,0.044426918,0.15205589,0.0,0.0,0.08773877,0.18806605,0.16222711,0.18806605,0.2750401,0.2750401,0.014175651,0.13962972,0.0,0.36167294,0.12516479,0.2750401,0.061101656,0.2750401,0.14134012,0.14134012,0.14134012,0.082098015,0.14134012,0.25832912,0.45870313,0.22745542,0.18408331,0.3817519,0.32181734,0.1879911,0.25832912,0.24830961,0.20885153,0.09250157,0.3540104,1.0,1.0,0.14060633,0.2003897,0.41799924,0.41799924,0.13862385,0.21221095,0.22019693,0.20221403,0.23639596,0.20935123,0.19278784,0.23639596,0.14060633,0.12305171,0.15690999,0.163851,0.17918797,0.22019693,0.11873755,0.35752276,0.3817519,0.15601814,0.295571,0.22019693,0.14060633,0.16793634,0.2872086,0.024913715,0.3105197,0.27067584,0.12025963,0.17459798,0.26770875,0.31482166,0.25518936,0.1444818
4		tmn		xbox		0.06034576,0.0,0.06034576,0.04073207,1.0,0.43526015,0.27006173,0.0067145815,0.120719425,0.120719425,0.120719425,0.0947076,0.0,0.022336837,0.032635197,0.075997785,0.075997785,0.075997785,0.0,0.05418088,0.032030273,0.05418088,0.05418088,0.05418088,0.27997935,0.0,0.012493235,0.022336837,0.0,0.28156084,0.26768938,0.21064223,0.19451208,0.11567615,0.19451208,0.39620528,0.21305506,0.39620528,0.07797602,0.0,0.08491215,0.042472623,0.39620528,0.39620528,0.21305506,0.31082085,0.31082085,0.31082085,0.31082085,0.31082085,0.16322073,0.03469242,0.05958002,0.081096135,0.11892518,0.04903615,0.11069427,0.16322073,0.069781266,0.05958002,0.0,0.07898194,0.065193,0.065193,0.06410045,0.05958002,0.049007215,0.03469242,0.12767172,0.03469242,0.084502146,0.13115703,0.11892518,0.14142837,0.14142837,0.084502146,0.05958002,0.0,0.072034776,0.06034576,0.010648884,0.084502146,0.08608032,0.16322073,0.035335746,0.0480231,0.11892518,0.084502146,0.06436398,0.1116276,0.03261429,0.020929715,0.0480231,0.09075553,0.03633301,0.023988277,0.062143095,0.082063526,0.09022559,0.035335746
36		tmn		deepmind alphazero ai go		0.12413767,0.0,0.08172937,0.105067514,0.21305506,0.16661055,0.1906221,0.010927764,0.010927764,0.069084525,0.11766841,0.11766841,0.0,0.03219687,0.10121048,0.19998513,0.10575128,0.19998513,0.071572535,0.24040598,0.1982837,0.24040598,0.24040598,0.1982837,0.11784683,0.0,0.0,0.03219687,0.08481257,0.2187801,0.2187801,0.12343227,0.26469812,0.26469812,0.26469812,1.0,1.0,1.0,0.16891454,0.0,0.0508226,0.022789788,1.0,1.0,1.0,0.21642841,0.21642841,0.21642841,0.21642841,0.21642841,0.6256091,0.54628116,0.32527238,0.6277893,0.12413767,0.40021592,0.6277893,0.311885,0.28283784,0.46872222,0.1836479,0.2237532,0.2750401,0.2750401,0.23020153,0.3625211,0.3625211,0.3625211,0.23464952,0.3625211,0.2695065,0.18818507,0.1986602,0.29192242,0.10212286,0.2695065,0.2844966,0.08599919,0.107959256,0.13661487,0.085023835,0.2695065,0.137696,0.311885,0.12413767,0.053732198,0.3134396,0.2695065,0.23020153,0.14407444,0.5518345,0.03140282,0.47513932,0.22352359,0.13450523,0.19023527,0.12101272,0.30846786,0.44191113,0.29788807
